,Marks,WinRate,MVP,Played,URL
0,244,58.53%,341,"1,102",https://sea.wildstats.gg/en/profile/D1pWIYi6Y5O5wfvRYG7T
1,234,62.05%,330,751,https://sea.wildstats.gg/en/profile/S4oFFBRE88hAEhs41Ike
2,221,64.34%,265,603,https://sea.wildstats.gg/en/profile/6LYjywZ3n8oYUe1wPwto
3,214,61.81%,234,741,https://sea.wildstats.gg/en/profile/EROGPRmlwyIuf24AnFNY
4,200,59.08%,307,782,https://sea.wildstats.gg/en/profile/YwMfAm4canvu06JXp7WW
5,189,58.36%,330,927,https://sea.wildstats.gg/en/profile/CNpoy3OQxo2Eej7wbM9U
6,174,57.49%,158,854,https://sea.wildstats.gg/en/profile/Dh16AxSTc4iPV1AzJVHy
7,169,58.21%,299,737,https://sea.wildstats.gg/en/profile/sZ8jp0UZBh6wM6DcDQ7c
8,166,57.13%,132,884,https://sea.wildstats.gg/en/profile/cQjAM5XXn8oVAOBwPAYz
9,163,56.19%,135,913,https://sea.wildstats.gg/en/profile/7q6prsD5AgfyXxj8fWYW
10,155,58.57%,189,671,https://sea.wildstats.gg/en/profile/f03WXGaWzFcGRSeUdiud
11,155,59.04%,174,647,https://sea.wildstats.gg/en/profile/WOpiPPTYlPIyxImX1fzP
12,153,60.55%,216,578,https://sea.wildstats.gg/en/profile/YmOz6GtbG32mEOXDvVtk
13,144,57.7%,150,740,https://sea.wildstats.gg/en/profile/7JW8WvEJrxVgNkcR8Qkg
14,144,55.86%,155,981,https://sea.wildstats.gg/en/profile/H8v2iUP9ReUa8Ce3bjU0
15,140,62.97%,220,505,https://sea.wildstats.gg/en/profile/TOcSWjGEEZNUZLG8lTwS
16,140,53.87%,174,"1,164",https://sea.wildstats.gg/en/profile/C0UH3eBaSXP4gg8PzALc
17,138,61.52%,71,473,https://sea.wildstats.gg/en/profile/OT7gPiJh3yNJgCT5ULKt
18,138,56.25%,177,768,https://sea.wildstats.gg/en/profile/CXYXJhQCOJFEywhJhz0N
19,136,57.89%,154,634,https://sea.wildstats.gg/en/profile/x2Z8weAY8gSgfJNKiVAr
20,135,55.09%,179,844,https://sea.wildstats.gg/en/profile/ofpdb5w0hoPjsXm7oL8w
21,135,56.07%,163,849,https://sea.wildstats.gg/en/profile/XBaJ7UBSOqON7PcUKwDy
22,134,65.04%,158,369,https://sea.wildstats.gg/en/profile/8Y9kJsjT90KyX94RUsMI
23,134,60.85%,120,493,https://sea.wildstats.gg/en/profile/aoI2b8CvlZDjQBtEnuQm
24,134,55.16%,143,843,https://sea.wildstats.gg/en/profile/sVzSJIAgrJW4IuSi3yV8
25,134,54.86%,306,864,https://sea.wildstats.gg/en/profile/LKWMrelDrLIueh5SxhlN
26,133,58.14%,65,602,https://sea.wildstats.gg/en/profile/FchPhG3DVbdrzVIpkAIW
27,132,64.94%,84,385,https://sea.wildstats.gg/en/profile/X72grmmuOfSXuK2WrZK8
28,131,63.51%,133,422,https://sea.wildstats.gg/en/profile/xYB0mh0us5BG5EQREyEO
29,131,54.07%,200,"1,045",https://sea.wildstats.gg/en/profile/dJhzMHj6xSOGx3hpXQ2F
30,130,53.44%,212,988,https://sea.wildstats.gg/en/profile/XqeLuiZxaePeXnAm2m9V
31,128,56.27%,32,750,https://sea.wildstats.gg/en/profile/o1olnHPOUbT18X57pzV2
32,127,59.62%,223,629,https://sea.wildstats.gg/en/profile/0ucoKcGXzZOXtUM6HelU
33,127,56.01%,203,732,https://sea.wildstats.gg/en/profile/KUQ99bbsokEzryrl0Mnc
34,126,54.68%,179,"1,046",https://sea.wildstats.gg/en/profile/6PjJ1u4vhBG4jc9dw2wI
35,126,52.34%,150,"1,452",https://sea.wildstats.gg/en/profile/TZAOQtPPq2dHuRLqiX9B
36,126,54.44%,284,889,https://sea.wildstats.gg/en/profile/GzeuVzOVygdjO9fK8YSi
37,125,62.11%,32,454,https://sea.wildstats.gg/en/profile/0SQ6haaBqfQEJ1nfuiyB
38,125,54.56%,83,801,https://sea.wildstats.gg/en/profile/UMVuq3lcfhjwJnwUCx4E
39,126,55.15%,152,816,https://sea.wildstats.gg/en/profile/kMtS8mEoZTBGHxgBO9Pg
40,124,56.93%,118,657,https://sea.wildstats.gg/en/profile/J6Ml7mkeAGhcZak1eHvQ
41,124,57.31%,198,595,https://sea.wildstats.gg/en/profile/XRZhyWCKPq2hrJWAL2b1
42,124,52.96%,185,"1,063",https://sea.wildstats.gg/en/profile/jaqJ5fDAEUwFahNLGG0H
43,123,57.94%,121,592,https://sea.wildstats.gg/en/profile/PGt3E31kXyzi0EXSlz2P
44,122,63.48%,31,408,https://sea.wildstats.gg/en/profile/LVENLaoE7VHGHOUMKCR7
45,122,55.27%,151,778,https://sea.wildstats.gg/en/profile/ySZMpkLNQ45MdivwhZZ6
46,122,53.13%,97,"1,135",https://sea.wildstats.gg/en/profile/pOZNytaiL4yM0eZFLZ9T
47,121,59.63%,126,488,https://sea.wildstats.gg/en/profile/PjhM3t2RWoFe2XJwtZXx
48,121,61.67%,136,420,https://sea.wildstats.gg/en/profile/9qW2nx1FeyH3iJ7PGgsm
49,121,57.33%,89,621,https://sea.wildstats.gg/en/profile/CauuvqbbKqF6UcHnEseU
50,121,54.51%,110,886,https://sea.wildstats.gg/en/profile/VjPWomcZrNghWetuGLu8
51,121,53.33%,80,"1,052",https://sea.wildstats.gg/en/profile/vX6m97kZqaRASi7e1MHe
52,120,59.35%,185,524,https://sea.wildstats.gg/en/profile/L4qUQCA6oWpJN7sJK2Px
53,121,55.57%,101,835,https://sea.wildstats.gg/en/profile/JkF5TzRuvtBOyTCvT4Ov
54,120,52.7%,217,"1,277",https://sea.wildstats.gg/en/profile/F0KuNwwnAjtA74tGIByS
55,119,56.73%,90,624,https://sea.wildstats.gg/en/profile/ksCMz7OqCWw1xZ52RZs8
56,119,57.02%,152,598,https://sea.wildstats.gg/en/profile/EmrIxbAmuMKUPfZgggkh
57,119,57.31%,106,588,https://sea.wildstats.gg/en/profile/2MTe3W74qQP3tGhDdIk4
58,119,53.96%,194,910,https://sea.wildstats.gg/en/profile/cvZ4DzSKZFClz8ElMPPK
59,119,56.93%,118,787,https://sea.wildstats.gg/en/profile/FIFaCHXr4DnCGs8btP4i
60,118,58.75%,127,514,https://sea.wildstats.gg/en/profile/Tj89UH2JOeAO8r0ty6O7
61,118,59.15%,110,519,https://sea.wildstats.gg/en/profile/yu4R9D6aV5Rmb5XSwjYw
62,118,61.46%,84,467,https://sea.wildstats.gg/en/profile/25EulBzPxA2iTdTugerv
63,118,54.32%,28,856,https://sea.wildstats.gg/en/profile/QJBjjMZ16p7kdqzjEnA6
64,118,58.88%,131,552,https://sea.wildstats.gg/en/profile/rnNy2ou8zbKCR5hZMClQ
65,118,53.4%,235,957,https://sea.wildstats.gg/en/profile/LDn3Fwo1sndeVISEeYqz
66,118,53.56%,157,898,https://sea.wildstats.gg/en/profile/yr9WgXZrWqO77pQ76Rtb
67,117,58.12%,40,585,https://sea.wildstats.gg/en/profile/2UVzQEk82Ysg5EuVod5U
68,116,52.52%,376,"1,150",https://sea.wildstats.gg/en/profile/UG4jJFM2rfF31WHVrjvG
69,117,52.6%,94,"1,173",https://sea.wildstats.gg/en/profile/Y0dRjx0uWdoiZvPQkVku
70,117,52.97%,248,942,https://sea.wildstats.gg/en/profile/lrRfHlpS0ah43tVyE3Wd
71,117,54.71%,224,764,https://sea.wildstats.gg/en/profile/4amMlvJffQPwc2tgqkJf
72,117,52.98%,201,991,https://sea.wildstats.gg/en/profile/vATrFnM7EkHo89GTtr8G
73,117,57.26%,146,620,https://sea.wildstats.gg/en/profile/ieTFSECMjKR475sbJI8f
74,116,57.41%,55,540,https://sea.wildstats.gg/en/profile/IRI9ITFjDhCLn10UOLCd
75,116,61.63%,66,430,https://sea.wildstats.gg/en/profile/zKCcIG6fdkQT894jkQsI
76,116,54.97%,130,784,https://sea.wildstats.gg/en/profile/bw4M67rfpUK20cd30zxS
77,116,53.07%,212,993,https://sea.wildstats.gg/en/profile/kaNFFMVDWTBIg7VYK1Pz
78,116,55.16%,177,756,https://sea.wildstats.gg/en/profile/IX7OPNDKxWZRgVsxgQAy
79,115,58.5%,105,535,https://sea.wildstats.gg/en/profile/gCCOPaHPcOLe9fCpj8bd
80,115,56.54%,138,589,https://sea.wildstats.gg/en/profile/UOU7RaEaLvekZUOatzt8
81,115,54.87%,122,811,https://sea.wildstats.gg/en/profile/BE6p43HIWJIDTWMwH87v
82,115,55.8%,38,672,https://sea.wildstats.gg/en/profile/7qS5bv6KSmkwooiyyQOp
83,115,54.34%,153,830,https://sea.wildstats.gg/en/profile/ZwekLkoplAdq7nRbNpo2
84,114,56.78%,147,634,https://sea.wildstats.gg/en/profile/Q61k8F4RkIWPhyNbursA
85,114,54.2%,136,869,https://sea.wildstats.gg/en/profile/8oK9fBIOWyVz6eWd8rtO
86,114,60.72%,26,415,https://sea.wildstats.gg/en/profile/TiXuEqnfODlTRaXBvtMF
87,114,58.63%,70,481,https://sea.wildstats.gg/en/profile/FEZipCZSE42oXb9deDT8
88,113,53.61%,232,"1,218",https://sea.wildstats.gg/en/profile/5IxmwFUcyjHT7JRHZJrK
89,114,58.25%,92,503,https://sea.wildstats.gg/en/profile/jMxKPwjzKiVNcvGYI1z7
90,113,55.89%,198,857,https://sea.wildstats.gg/en/profile/YGjiWP0dp7MFiV7Pkx4a
91,113,56.74%,72,668,https://sea.wildstats.gg/en/profile/udoe0KeMMbJWybqgLWv1
92,113,58.19%,151,507,https://sea.wildstats.gg/en/profile/iHoH3aabKXYgzN4OQYsz
93,113,55.46%,163,613,https://sea.wildstats.gg/en/profile/B8uiBHemjbHNrscCSuST
94,113,52.95%,186,"1,086",https://sea.wildstats.gg/en/profile/M97s4TQciek63jR8mwLQ
95,113,53.5%,182,944,https://sea.wildstats.gg/en/profile/uUnAOUtRGxE5oO71VxYM
96,113,53.96%,119,847,https://sea.wildstats.gg/en/profile/s8ysRrqSanFUJlqV5XtK
97,113,52.42%,238,"1,238",https://sea.wildstats.gg/en/profile/Ik16i4b6FBFrTgGJDdRU
98,113,53.74%,328,"1,122",https://sea.wildstats.gg/en/profile/SmayyMk0IeqdjZHI07nK
99,113,54.67%,222,706,https://sea.wildstats.gg/en/profile/J9b5FYRbpbB27trlQ0y8
100,112,62.47%,98,381,https://sea.wildstats.gg/en/profile/hW1yIKTetvNTCNo7xbWn
101,112,58.49%,83,530,https://sea.wildstats.gg/en/profile/zG2LWsSXRZ6wq7nchf0j
102,112,53.78%,146,952,https://sea.wildstats.gg/en/profile/Qoql9JHvH4jfwmMpxgqN
103,112,56.43%,34,645,https://sea.wildstats.gg/en/profile/w6zm29tQYD0fe1A8jTgT
104,112,52.54%,79,"1,121",https://sea.wildstats.gg/en/profile/fL1Dftq131uvdyfFkqeh
105,112,51.8%,164,"1,253",https://sea.wildstats.gg/en/profile/5IYZrqWLf6Gi7eIngiJq
106,111,55.85%,50,684,https://sea.wildstats.gg/en/profile/GxhxiGzJ3LA62rdNJzLF
107,111,56.35%,128,591,https://sea.wildstats.gg/en/profile/bxdn2q1zI3hHP5m2Cvr4
108,111,54.95%,95,788,https://sea.wildstats.gg/en/profile/mDwC0ZtSmJe72I2sStB8
109,111,54.03%,182,694,https://sea.wildstats.gg/en/profile/NtrGHdNEJIZ4S8h1dprd
110,111,52.63%,231,"1,197",https://sea.wildstats.gg/en/profile/oqgX26TKBLF59NyQtHPS
111,110,59.41%,98,478,https://sea.wildstats.gg/en/profile/E9Mu1sea4H2zWAxWyCAF
112,110,61.03%,63,426,https://sea.wildstats.gg/en/profile/XBPq0gEZ6gBd4WVDXoFe
113,110,53.59%,173,808,https://sea.wildstats.gg/en/profile/tQ850aPq7H1tvAf1mVqe
114,110,57.29%,195,487,https://sea.wildstats.gg/en/profile/wz9zc1a3pz0zI1e9XlLq
115,110,54.24%,200,813,https://sea.wildstats.gg/en/profile/P3INNSQCI6ya4LnxfyeC
116,110,57.17%,150,530,https://sea.wildstats.gg/en/profile/iXGJcN3V4eOfmb5XdDed
117,110,56.57%,200,578,https://sea.wildstats.gg/en/profile/y6FBogOpz70jIGPmDc8z
118,110,53.93%,235,777,https://sea.wildstats.gg/en/profile/N3eoE1dCeMXua7LgNbAp
119,109,60.5%,67,443,https://sea.wildstats.gg/en/profile/tXpbJ6K2nlsCbhpIaWJl
120,109,57.42%,133,559,https://sea.wildstats.gg/en/profile/mPxfyOxaRUZZZ1BazujK
121,109,55.5%,62,600,https://sea.wildstats.gg/en/profile/3DsNpFFpzuHmu47YfEyj
122,109,63.94%,35,355,https://sea.wildstats.gg/en/profile/dUDH6OLSswPHT9Ui7fEK
123,109,57.48%,148,548,https://sea.wildstats.gg/en/profile/1UWJnPiRnQqbzbF3Ir9O
124,109,55.8%,106,629,https://sea.wildstats.gg/en/profile/QUCqcxPrecHnjrRaZjq5
125,109,57.48%,126,515,https://sea.wildstats.gg/en/profile/5YJDlmC5vOsXtmkQf42W
126,109,54.16%,158,938,https://sea.wildstats.gg/en/profile/DPQlE0sbCAoVxNrEToK2
127,109,53.97%,89,895,https://sea.wildstats.gg/en/profile/C1wzYYEAKZ3G1lWUouyD
128,109,52.52%,285,"1,152",https://sea.wildstats.gg/en/profile/ua0oX6P2B3d7qtHoVlj6
129,109,57.67%,135,593,https://sea.wildstats.gg/en/profile/ERBdAVfO0uvzjuDo4wGP
130,109,54.96%,178,686,https://sea.wildstats.gg/en/profile/2uhaxdfGNZ0WFiuMd93O
131,109,52.19%,253,"1,510",https://sea.wildstats.gg/en/profile/TRix6yE8lWKDSi6RJm4m
132,109,54.12%,53,885,https://sea.wildstats.gg/en/profile/kZfB3DGvyM7OlMHjqMso
133,108,59.44%,152,678,https://sea.wildstats.gg/en/profile/VVd74BqnWKl93r8TUlKI
134,108,57.31%,230,513,https://sea.wildstats.gg/en/profile/CC276G3kDLKmg104WM3b
135,108,61.54%,114,377,https://sea.wildstats.gg/en/profile/TdiDomvUqbgLZ7XdCVZ3
136,108,57.17%,115,516,https://sea.wildstats.gg/en/profile/twLqKoG5FJS8x5zVtJqU
137,108,60.95%,146,402,https://sea.wildstats.gg/en/profile/Q11zFucOam1yT8eBsUi9
138,107,58.4%,112,476,https://sea.wildstats.gg/en/profile/0WKgYIjGThc2pojDnVur
139,108,55.33%,314,806,https://sea.wildstats.gg/en/profile/s7Rxj6TTJlRWgg0l9FxI
140,108,57.48%,210,468,https://sea.wildstats.gg/en/profile/UUgxXttlJr0orepKxW49
141,108,53.94%,167,"1,142",https://sea.wildstats.gg/en/profile/QwAcRlaA5p91TdYkYqty
142,108,64.36%,57,376,https://sea.wildstats.gg/en/profile/pXXxEZAfTfyTRQW1VrEF
143,108,55.52%,178,706,https://sea.wildstats.gg/en/profile/J8vXVrzbogWuJLcWjRGn
144,108,53.6%,65,763,https://sea.wildstats.gg/en/profile/ELW4ZoNcEPHsAHyIsoAe
145,108,62.02%,112,387,https://sea.wildstats.gg/en/profile/dCq0wYvQDjcvRU4p9y3Z
146,108,54.48%,132,703,https://sea.wildstats.gg/en/profile/urj2emn1URmGsQzIczuy
147,108,55.89%,97,696,https://sea.wildstats.gg/en/profile/GcMkH1EsbQWIDW174a2p
148,108,55.01%,259,749,https://sea.wildstats.gg/en/profile/qrBtG4vbI7hpVPvM2aZf
149,108,54.02%,144,759,https://sea.wildstats.gg/en/profile/8FlHT5ayfNtwYFbWcFHY
150,108,53.05%,184,886,https://sea.wildstats.gg/en/profile/EFxwBVM8wj8eRVZlWtNh
151,108,58.25%,172,618,https://sea.wildstats.gg/en/profile/m70fifhTaif5u96kSXjJ
152,107,58.56%,178,473,https://sea.wildstats.gg/en/profile/uUsBABTsFgFl2mLK3eej
153,107,57.41%,68,533,https://sea.wildstats.gg/en/profile/4zp1qap8nBYfqV2tEuiS
154,107,58.42%,137,493,https://sea.wildstats.gg/en/profile/uxB8HUT3M2nuyUG5ac7R
155,107,56.52%,67,660,https://sea.wildstats.gg/en/profile/pazgFVS9OPeIaPduuc5h
156,107,53.41%,219,820,https://sea.wildstats.gg/en/profile/M4Vm6XODRkTJ85MBOJrZ
157,107,53.02%,204,945,https://sea.wildstats.gg/en/profile/B80t0hqapUuxqEBO5xjt
158,107,55.63%,190,604,https://sea.wildstats.gg/en/profile/ExdkOCp16xTFUlu9WyQh
159,107,58.81%,120,471,https://sea.wildstats.gg/en/profile/4CaxKgEQNk8rTFwfsgIZ
160,107,53%,217,949,https://sea.wildstats.gg/en/profile/gYAQGYWQfH3XRIthkcLU
161,107,52.18%,221,"1,190",https://sea.wildstats.gg/en/profile/j1J87xLtf3gS53HQkN3y
162,107,51.64%,374,"1,524",https://sea.wildstats.gg/en/profile/WJtfzl4G4cL56fYn1D3Z
163,107,59.21%,64,478,https://sea.wildstats.gg/en/profile/YiuE2SPmLu2ryj4yygqj
164,106,54.87%,106,760,https://sea.wildstats.gg/en/profile/2JzX8r6vpPGSfYsikEXK
165,105,53.03%,155,909,https://sea.wildstats.gg/en/profile/iVp7redKcIvbSQ7tF6fL
166,106,54.83%,96,693,https://sea.wildstats.gg/en/profile/49NNW7luwIeLXRT4J7og
167,106,55.26%,99,666,https://sea.wildstats.gg/en/profile/eqn8TwCNVrEaLdfxYb1X
168,106,59.82%,79,438,https://sea.wildstats.gg/en/profile/ea2sw7JI8EfJanYF4od3
169,106,54.37%,175,743,https://sea.wildstats.gg/en/profile/Szj19sh0Jt1DIa2M89E1
170,106,52.46%,99,"1,119",https://sea.wildstats.gg/en/profile/2uggfHVlVoO4nYc21LTw
171,106,55.21%,148,701,https://sea.wildstats.gg/en/profile/x5WH0uAYGaKMN2XPiZMg
172,106,51.3%,211,"1,269",https://sea.wildstats.gg/en/profile/quMTeQWNiw2Wki37JtlG
173,106,55.93%,226,624,https://sea.wildstats.gg/en/profile/HptG7lZa0mrpO7fS63AU
174,106,52.98%,109,957,https://sea.wildstats.gg/en/profile/rvdeSHjfS6VFzhuHPBRD
175,106,52.02%,237,992,https://sea.wildstats.gg/en/profile/EiippLP83HrfuldoEemH
176,106,52.84%,113,967,https://sea.wildstats.gg/en/profile/dm3572zA0e7EzIGcdHMK
177,106,52.85%,167,982,https://sea.wildstats.gg/en/profile/nRF7xp04qNUloTAXzwmM
178,106,51.85%,228,"1,431",https://sea.wildstats.gg/en/profile/Wov0J1SfplvT1IDWvZh9
179,105,51.4%,44,"2,078",https://sea.wildstats.gg/en/profile/hgFa0zEXxNY36usmMwEu
180,106,52.14%,120,"1,122",https://sea.wildstats.gg/en/profile/5fXESlxsPEp8QQT1WoHW
181,105,59.17%,128,480,https://sea.wildstats.gg/en/profile/O5F2sGnTc8JGM1XhK4uX
182,106,56.39%,127,626,https://sea.wildstats.gg/en/profile/vetEeniRKnuRdhCEaOxM
183,105,56.79%,132,574,https://sea.wildstats.gg/en/profile/Y5JddedlzM3udWtAi5Ng
184,105,54.71%,227,616,https://sea.wildstats.gg/en/profile/gobjO7feXBqNZkAoteKU
185,105,59.08%,3,435,https://sea.wildstats.gg/en/profile/yR6QNxX5y3D9wIiXLrWZ
186,105,60.31%,166,519,https://sea.wildstats.gg/en/profile/hyjRLAVYQGaFrZ9bz1pm
187,105,59.01%,61,444,https://sea.wildstats.gg/en/profile/fXouqNinxsomR2JrkOcF
188,105,52.89%,165,866,https://sea.wildstats.gg/en/profile/H02n4tqOrS5ZnZTy3v3H
189,105,53.68%,178,829,https://sea.wildstats.gg/en/profile/CHPoMgnMc4Us64A3AJ1b
190,105,55.67%,179,600,https://sea.wildstats.gg/en/profile/7CEeILxP8SXLGaXwa1aX
191,105,57.37%,102,509,https://sea.wildstats.gg/en/profile/9eKz76Z8PkD6JZ4ufLP6
192,105,56.64%,135,602,https://sea.wildstats.gg/en/profile/fcNMdU7arNI820ufJ4yL
193,105,54.71%,129,733,https://sea.wildstats.gg/en/profile/x2CkGnTXrUYWSxkJkob3
194,105,54.97%,244,744,https://sea.wildstats.gg/en/profile/Kn7wK4zHFX92Wt4KugrG
195,105,54.47%,84,771,https://sea.wildstats.gg/en/profile/Hz5LSDspCSq230aHtUlW
196,105,51.7%,348,"1,027",https://sea.wildstats.gg/en/profile/PwyjbsNX8BZm6NP52Aa4
197,105,55.76%,152,590,https://sea.wildstats.gg/en/profile/oNNz86bupxjmM4IcV9l3
198,105,53.19%,250,863,https://sea.wildstats.gg/en/profile/nmEbQwjpZAQOQlR0GvbG
199,105,52.42%,243,826,https://sea.wildstats.gg/en/profile/nHpmtFKH9ec4NZxjGU1s
